,output
0,1
1,0
2,0
3,0
4,0
5,0
6,1
7,0
8,1
9,0
10,0
11,1
12,0
13,0
14,0
15,1
16,1
17,0
18,0
19,0
20,1
21,1
22,1
23,1
24,0
25,0
26,1
27,1
28,0
29,1
30,1
31,0
32,0
33,0
34,1
35,0
36,1
37,0
38,0
39,0
40,1
41,0
42,1
43,0
44,0
45,1
46,0
47,1
48,0
49,1
50,0
51,1
52,1
53,1
54,0
55,0
56,0
57,0
58,1
59,0
60,1
61,1
62,0
63,0
64,1
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,1
75,0
76,0
77,1
78,0
79,0
80,0
81,1
82,0
83,0
84,0
85,0
86,1
87,0
88,0
89,1
90,1
91,0
92,1
93,0
94,0
95,0
96,1
97,1
98,1
99,0
100,0
101,0
102,1
103,1
104,0
105,1
106,0
107,0
108,1
109,0
110,1
111,0
112,0
113,1
114,1
115,0
116,0
117,0
118,1
119,0
120,0
121,0
122,0
123,0
124,1
125,1
126,1
127,0
128,1
129,0
130,0
131,0
132,1
133,0
134,0
135,1
136,1
137,0
138,1
139,0
140,0
141,1
142,1
143,1
144,1
145,0
146,1
147,0
148,1
149,1
150,0
151,0
152,0
153,0
154,0
155,1
156,1
157,0
158,1
159,0
160,0
161,1
162,0
163,1
164,1
165,0
166,1
167,1
168,1
169,1
170,1
171,0
172,0
173,1
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,1
182,1
183,1
184,0
185,0
186,0
187,0
188,0
189,1
190,1
191,0
192,0
193,1
194,0
195,0
196,0
197,0
198,0
199,1
200,1
201,1
202,1
203,0
204,0
205,0
206,1
207,1
208,1
209,0
210,1
211,1
212,1
213,1
214,0
215,0
216,0
217,1
218,0
219,0
220,0
221,1
222,0
223,1
224,0
225,0
226,1
227,1
228,1
229,0
230,0
231,0
232,1
233,0
234,1
235,1
236,1
237,1
238,0
239,1
240,0
241,0
242,0
243,0
244,1
245,0
246,0
247,0
248,1
249,1
250,1
251,1
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,1
262,1
263,0
264,1
265,1
266,0
267,1
268,1
269,1
270,1
271,1
272,0
273,1
274,1
275,0
276,0
277,1
278,0
279,0
280,0
281,1
282,0
283,1
284,1
285,1
286,1
287,0
288,1
289,0
290,0
291,1
292,1
293,1
294,1
295,1
296,0
297,1
298,1
299,1
300,0
301,1
302,0
303,0
304,1
305,1
306,1
307,0
308,0
309,0
310,1
311,1
312,1
313,1
314,0
315,0
316,0
317,1
318,1
319,0
320,0
321,1
322,0
323,0
324,1
325,0
326,0
327,1
328,1
329,1
330,0
331,1
332,1
333,0
334,1
335,1
336,0
337,1
338,0
339,1
340,0
341,1
342,1
343,0
344,1
345,1
346,1
347,0
348,1
349,0
350,1
351,1
352,1
353,0
354,1
355,0
356,1
357,1
358,1
359,1
360,0
361,1
362,1
363,1
364,1
365,0
366,1
367,1
368,1
369,0
370,0
371,1
372,0
373,0
374,0
375,1
376,0
377,1
378,1
379,1
380,1
381,0
382,0
383,0
384,1
385,0
386,1
387,1
388,0
389,0
390,0
391,1
392,1
393,0
394,0
395,0
396,1
397,1
398,1
399,0
400,0
401,1
402,0
403,1
404,1
405,0
406,1
407,0
408,0
409,1
410,0
411,1
412,1
413,0
414,0
415,1
416,1
417,1
418,0
419,0
420,0
421,0
422,1
423,0
424,0
425,1
426,0
427,0
428,1
429,1
430,0
431,0
432,1
433,0
434,0
435,1
436,1
437,1
438,0
439,1
440,1
441,0
442,1
443,1
444,0
445,1
446,1
447,0
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,1
457,1
458,1
459,0
460,0
461,1
462,1
463,1
464,1
465,1
466,0
467,0
468,0
469,1
470,1
471,0
472,1
473,0
474,1
475,1
476,0
477,1
478,0
479,1
480,1
481,1
482,0
483,0
484,0
485,1
486,1
487,0
488,0
489,1
490,0
491,0
492,1
493,0
494,1
495,1
496,1
497,0
498,1
499,0
500,1
501,0
502,0
503,1
504,1
505,0
506,1
507,1
508,1
509,0
510,0
511,1
512,0
513,0
514,0
515,1
516,0
517,1
518,0
519,0
520,1
521,0
522,1
523,0
524,1
525,0
526,0
527,1
528,1
529,1
530,1
531,0
532,1
533,1
534,1
535,1
536,1
537,0
538,1
539,0
540,1
541,0
542,0
543,1
544,0
545,0
546,1
547,0
548,1
549,1
550,0
551,1
552,1
553,1
554,1
555,0
556,0
557,1
558,0
559,0
560,0
561,1
562,0
563,0
564,0
565,1
566,0
567,1
568,0
569,0
570,1
571,0
572,1
573,1
574,1
575,0
576,0
577,0
578,0
579,0
580,0
581,1
582,0
583,0
584,0
585,0
586,0
587,1
588,0
589,0
590,0
591,0
592,0
593,1
594,1
595,1
596,0
597,0
598,1
599,1
600,0
601,1
602,0
603,1
604,0
605,0
606,1
607,1
608,1
609,0
610,1
611,1
612,1
613,0
614,0
615,1
616,0
617,0
618,1
619,1
620,0
621,0
622,0
623,0
624,0
625,0
626,0
627,0
628,0
629,1
630,1
631,1
632,0
633,1
634,1
635,0
636,0
637,1
638,0
639,1
640,0
641,0
642,1
643,0
644,0
645,0
646,1
647,0
648,0
649,0
650,1
651,0
652,1
653,1
654,1
655,1
656,1
657,0
658,0
659,1
660,0
661,0
662,0
663,0
664,0
665,0
666,1
667,0
668,0
669,0
670,1
671,1
672,0
673,0
674,0
675,0
676,0
677,0
678,0
679,0
680,1
681,1
682,0
683,1
684,0
685,0
686,1
687,1
688,0
689,0
690,0
691,0
692,0
693,1
694,0
695,0
696,1
697,1
698,1
699,0
700,1
701,1
702,0
703,1
704,1
705,1
706,1
707,1
708,1
709,0
710,1
711,0
712,1
713,1
714,1
715,1
716,1
717,1
718,0
719,1
720,1
721,1
722,0
723,0
724,1
725,1
726,0
727,1
728,0
729,0
730,0
731,1
732,0
733,0
734,0
735,1
736,1
737,0
738,0
739,1
740,1
741,1
742,0
743,1
744,1
745,1
746,0
747,0
748,0
749,0
750,1
751,0
752,0
753,1
754,0
755,0
756,0
757,1
758,1
759,0
760,0
761,1
762,0
763,0
764,1
765,1
766,1
767,0
768,0
769,1
770,1
771,0
772,0
773,0
774,0
775,0
776,1
777,1
778,0
779,0
780,1
781,0
782,1
783,1
784,0
785,0
786,0
787,0
788,0
789,0
790,0
791,1
792,0
793,0
794,1
795,1
796,1
797,1
798,0
799,0
800,1
801,1
802,1
803,1
804,1
805,0
806,0
807,1
808,0
809,1
810,0
811,0
812,0
813,0
814,0
815,1
816,1
817,1
818,0
819,0
820,1
821,0
822,0
823,1
824,0
825,0
826,0
827,1
828,0
829,0
830,1
831,1
832,0
833,1
834,1
835,0
836,0
837,1
838,1
839,1
840,0
841,0
842,0
843,0
844,1
845,1
846,0
847,1
848,0
849,0
850,0
851,0
852,1
853,0
854,1
855,1
856,1
857,0
858,0
859,1
860,1
861,0
862,0
863,0
864,1
865,0
866,0
867,0
868,1
869,1
870,0
871,0
872,0
873,1
874,1
875,0
876,1
877,1
878,0
879,0
880,0
881,1
882,0
883,0
884,1
885,1
886,1
887,0
888,1
889,1
890,0
891,0
892,1
893,1
894,1
895,0
896,0
897,1
898,0
899,0
900,0
901,0
902,0
903,1
904,0
905,0
906,0
907,0
908,0
909,0
910,1
911,1
912,0
913,0
914,1
915,0
916,0
917,1
918,1
919,1
920,1
921,0
922,0
923,1
924,1
925,0
926,1
927,0
928,0
929,0
930,1
931,0
932,0
933,0
934,0
935,1
936,0
937,1
938,0
939,0
940,0
941,1
942,1
943,1
944,0
945,1
946,0
947,0
948,1
949,1
950,0
951,1
952,1
953,1
954,1
955,1
956,0
957,1
958,0
959,0
960,1
961,1
962,1
963,0
964,1
965,0
966,0
967,1
968,0
969,1
970,1
971,0
972,0
973,0
974,1
975,0
976,1
977,0
978,1
979,1
980,1
981,0
982,0
983,1
984,1
985,0
986,0
987,0
988,0
989,1
990,1
991,0
992,1
993,0
994,0
995,1
996,0
997,0
998,1
999,1
1000,0
1001,0
1002,1
1003,1
1004,1
1005,0
1006,1
1007,0
1008,1
1009,0
1010,0
1011,0
1012,0
1013,1
1014,1
1015,0
1016,1
1017,1
1018,0
1019,0
1020,1
1021,1
1022,0
1023,0
1024,0
1025,1
1026,1
1027,1
1028,0
1029,1
1030,1
1031,1
1032,0
1033,0
1034,0
1035,0
1036,0
1037,1
1038,1
1039,0
1040,1
1041,1
1042,1
1043,1
1044,1
1045,0
1046,0
1047,1
1048,1
1049,0
1050,0
1051,1
1052,1
1053,1
1054,0
1055,0
1056,1
1057,1
1058,1
1059,1
1060,0
1061,0
1062,0
1063,1
1064,1
1065,0
1066,0
1067,0
1068,1
1069,0
1070,1
1071,0
1072,0
1073,1
1074,1
1075,0
1076,0
1077,0
1078,0
1079,1
1080,0
1081,1
1082,1
1083,0
1084,0
1085,0
1086,0
1087,1
1088,1
1089,0
1090,1
1091,1
1092,1
1093,0
1094,1
1095,1
1096,1
1097,0
1098,1
1099,1
1100,0
1101,0
1102,1
1103,1
1104,1
1105,0
1106,1
1107,1
1108,0
1109,0
1110,0
1111,1
1112,0
1113,0
1114,0
1115,0
1116,0
1117,1
1118,1
1119,1
1120,1
1121,1
1122,0
1123,1
1124,0
1125,1
1126,1
1127,1
1128,1
1129,1
1130,0
1131,0
1132,1
1133,1
1134,0
1135,1
1136,1
1137,0
1138,0
1139,1
1140,0
1141,1
1142,0
1143,0
1144,1
1145,0
1146,0
1147,1
1148,1
1149,0
1150,1
1151,1
1152,0
1153,1
1154,1
1155,1
1156,1
1157,0
1158,0
1159,1
1160,0
1161,1
1162,0
1163,1
1164,0
1165,1
1166,0
1167,0
1168,0
1169,1
1170,1
1171,0
1172,0
1173,0
1174,0
1175,0
1176,1
1177,0
1178,1
1179,1
1180,0
1181,0
1182,0
1183,0
1184,0
1185,0
1186,0
1187,0
1188,1
1189,0
1190,1
1191,1
1192,0
1193,1
1194,0
1195,0
1196,0
1197,1
1198,0
1199,1
1200,1
1201,1
1202,1
1203,1
1204,1
1205,1
1206,0
1207,0
1208,1
1209,1
1210,0
1211,1
1212,0
1213,0
1214,1
1215,1
1216,0
1217,1
1218,0
1219,0
1220,0
1221,1
1222,0
1223,1
1224,0
1225,1
1226,0
1227,1
1228,1
1229,1
1230,0
